city,country,country_code,state
Selkirk,Canada,CA,Manitoba
Trepassey,Canada,CA,Newfoundland and Labrador
Schefferville,Canada,CA,Quebec
Whitehorse,Canada,CA,Yukon
Trout River,Canada,CA,Newfoundland and Labrador
Yorkton,Canada,CA,Saskatchewan
Antigonish,Canada,CA,Nova Scotia
Gander,Canada,CA,Newfoundland and Labrador
Berens River,Canada,CA,Manitoba
Port-Menier,Canada,CA,Quebec
Wetaskiwin,Canada,CA,Alberta
Shamattawa,Canada,CA,Manitoba
Steinbach,Canada,CA,Manitoba
Thunder Bay,Canada,CA,Ontario
Oshawa,Canada,CA,Ontario
Chicoutimi,Canada,CA,Quebec
Melville,Canada,CA,Saskatchewan
Brooks,Canada,CA,Alberta
Dauphin,Canada,CA,Manitoba
Smithers,Canada,CA,British Columbia
Terrace,Canada,CA,British Columbia
Lutselke,Canada,CA,Northwest Territories
Resolute,Canada,CA,Nunavut
Quesnel,Canada,CA,British Columbia
Island Lake,Canada,CA,Manitoba
Halifax,Canada,CA,Nova Scotia
Watson Lake,Canada,CA,Yukon
Sydney,Canada,CA,Nova Scotia
Dawson Creek,Canada,CA,British Columbia
Uranium City,Canada,CA,Saskatchewan
Timmins,Canada,CA,Ontario
Saskatoon,Canada,CA,Saskatchewan
Iqaluit,Canada,CA,Nunavut
Alert,Canada,CA,Nunavut
Thessalon,Canada,CA,Ontario
Yellowknife,Canada,CA,Northwest Territories
Camrose,Canada,CA,Alberta
Campbell River,Canada,CA,British Columbia
Revelstoke,Canada,CA,British Columbia
Meadow Lake,Canada,CA,Saskatchewan
Atikokan,Canada,CA,Ontario
Creston,Canada,CA,British Columbia
Gillam,Canada,CA,Manitoba
Cranbrook,Canada,CA,British Columbia
Little Current,Canada,CA,Ontario
Calgary,Canada,CA,Alberta
Big Beaver House,Canada,CA,Ontario
Parry Sound,Canada,CA,Ontario
Kamloops,Canada,CA,British Columbia
Dolbeau,Canada,CA,Quebec
St. John's,Canada,CA,Newfoundland and Labrador
Lansdowne House,Canada,CA,Ontario
Paulatuk,Canada,CA,Northwest Territories
Attawapiskat,Canada,CA,Ontario
Rimouski,Canada,CA,Quebec
Grand Prairie,Canada,CA,Alberta
La Sarre,Canada,CA,Quebec
Mingan,Canada,CA,Quebec
Prince Albert,Canada,CA,Saskatchewan
Moose Jaw,Canada,CA,Saskatchewan
Powell River,Canada,CA,British Columbia
Pangnirtung,Canada,CA,Nunavut
Nelson,Canada,CA,British Columbia
Peace River,Canada,CA,Alberta
Cobalt,Canada,CA,Ontario
New Glasgow,Canada,CA,Nova Scotia
Arctic Bay,Canada,CA,Nunavut
Burwash Landing,Canada,CA,Yukon
Saint-Georges,Canada,CA,Quebec
Vancouver,Canada,CA,British Columbia
Medicine Hat,Canada,CA,Alberta
Port Hope Simpson,Canada,CA,Newfoundland and Labrador
Deer Lake,Canada,CA,Newfoundland and Labrador
Vegreville,Canada,CA,Alberta
Bella Bella,Canada,CA,British Columbia
Rankin Inlet,Canada,CA,Nunavut
Owen Sound,Canada,CA,Ontario
Lac La Biche,Canada,CA,Alberta
Hopedale,Canada,CA,Newfoundland and Labrador
Norway House,Canada,CA,Manitoba
Coral Harbour,Canada,CA,Nunavut
Kugluktuk,Canada,CA,Nunavut
Norman Wells,Canada,CA,Northwest Territories
Fort Resolution,Canada,CA,Northwest Territories
Fort McPherson,Canada,CA,Northwest Territories
Forteau,Canada,CA,Newfoundland and Labrador
Kuujjuaq,Canada,CA,Quebec
Cape Dorset,Canada,CA,Nunavut
Cartwright,Canada,CA,Newfoundland and Labrador
Flin Flon,Canada,CA,Manitoba
Holman,Canada,CA,Northwest Territories
Pembroke,Canada,CA,Ontario
Baker Lake,Canada,CA,Nunavut
Moosonee,Canada,CA,Ontario
Dryden,Canada,CA,Ontario
Corner Brook,Canada,CA,Newfoundland and Labrador
Kelowna,Canada,CA,British Columbia
Fort Smith,Canada,CA,Northwest Territories
Fort Severn,Canada,CA,Ontario
Mont-Laurier,Canada,CA,Quebec
Channel-Port aux Basques,Canada,CA,Newfoundland and Labrador
Kindersley,Canada,CA,Saskatchewan
Igloolik,Canada,CA,Nunavut
Hudson Bay,Canada,CA,Saskatchewan
Courtenay,Canada,CA,British Columbia
Mistassini,Canada,CA,Quebec
Kingston,Canada,CA,Ontario
Eastmain,Canada,CA,Quebec
Baie-Comeau,Canada,CA,Quebec
North Bay,Canada,CA,Ontario
North Battleford,Canada,CA,Saskatchewan
Grise Fiord,Canada,CA,Nunavut
Hay River,Canada,CA,Northwest Territories
Stony Rapids,Canada,CA,Saskatchewan
Hinton,Canada,CA,Alberta
Toronto,Canada,CA,Ontario
Edmonton,Canada,CA,Alberta
Gjoa Haven,Canada,CA,Nunavut
